"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","321.86","320.53","322.13","320.15","57.11M","0.24%"
"Dec 30, 2019","321.08","322.95","323.10","320.55","49.78M","-0.55%"
"Dec 27, 2019","322.86","323.74","323.80","322.28","42.55M","-0.02%"
"Dec 26, 2019","322.94","321.65","322.95","321.64","31.02M","0.53%"
"Dec 24, 2019","321.23","321.47","321.52","320.90","20.27M","0.00%"
"Dec 23, 2019","321.22","321.59","321.65","321.06","53.02M","0.15%"
"Dec 20, 2019","320.73","320.46","321.97","319.39","149.34M","-0.05%"
"Dec 19, 2019","320.90","319.80","320.98","319.52","85.39M","0.41%"
"Dec 18, 2019","319.59","320.00","320.25","319.53","48.20M","0.01%"
"Dec 17, 2019","319.57","319.92","320.25","319.48","61.13M","0.02%"
"Dec 16, 2019","319.50","319.22","320.15","317.25","82.84M","0.69%"
"Dec 13, 2019","317.32","316.87","318.67","316.02","81.55M","0.06%"
"Dec 12, 2019","317.13","314.43","317.99","314.17","96.59M","0.86%"
"Dec 11, 2019","314.42","314.03","314.70","313.44","53.52M","0.28%"
"Dec 10, 2019","313.53","313.82","314.55","312.81","53.11M","-0.11%"
"Dec 09, 2019","313.88","314.44","315.18","313.80","34.90M","-0.31%"
"Dec 06, 2019","314.87","314.12","315.31","314.11","48.96M","0.91%"
"Dec 05, 2019","312.02","312.23","312.25","310.58","40.78M","0.18%"
"Dec 04, 2019","311.46","310.70","312.12","310.32","49.19M","0.62%"
"Dec 03, 2019","309.55","308.65","309.64","307.13","75.17M","-0.67%"
"Dec 02, 2019","311.64","314.59","314.66","311.17","76.11M","-0.85%"
"Nov 29, 2019","314.31","314.86","315.13","314.06","36.59M","-0.37%"
"Nov 27, 2019","315.48","314.61","315.48","314.37","44.79M","0.45%"
"Nov 26, 2019","314.08","313.41","314.28","313.06","37.73M","0.23%"
"Nov 25, 2019","313.37","311.98","313.37","311.98","48.76M","0.78%"
"Nov 22, 2019","310.96","311.09","311.24","309.85","44.85M","0.22%"
"Nov 21, 2019","310.27","310.89","311.01","309.39","54.66M","-0.16%"
"Nov 20, 2019","310.77","311.28","311.85","309.06","79.70M","-0.37%"
"Nov 19, 2019","311.93","312.68","312.69","311.22","67.93M","-0.03%"
"Nov 18, 2019","312.02","311.53","312.28","311.03","49.33M","0.07%"
"Nov 15, 2019","311.79","311.02","311.84","310.26","62.71M","0.72%"
"Nov 14, 2019","309.55","308.79","309.64","308.09","52.00M","0.15%"
"Nov 13, 2019","309.10","307.91","309.54","307.66","54.46M","0.03%"
"Nov 12, 2019","309.00","308.75","309.99","308.15","46.48M","0.21%"
"Nov 11, 2019","308.35","307.42","308.54","307.27","35.93M","-0.19%"
"Nov 08, 2019","308.94","307.80","309.00","307.03","49.07M","0.25%"
"Nov 07, 2019","308.18","308.57","309.65","307.66","54.27M","0.35%"
"Nov 06, 2019","307.10","307.03","307.40","306.06","46.49M","0.02%"
"Nov 05, 2019","307.03","307.59","307.92","306.71","42.93M","-0.11%"
"Nov 04, 2019","307.37","307.85","308.00","306.96","60.61M","0.40%"
"Nov 01, 2019","306.14","304.92","306.19","304.74","71.14M","0.93%"
"Oct 31, 2019","303.33","304.13","304.13","301.73","69.05M","-0.27%"
"Oct 30, 2019","304.14","303.43","304.55","301.99","49.64M","0.31%"
"Oct 29, 2019","303.21","303.00","304.23","302.86","44.28M","-0.03%"
"Oct 28, 2019","303.30","302.94","303.85","302.91","42.15M","0.56%"
"Oct 25, 2019","301.60","299.74","302.20","299.68","45.21M","0.41%"
"Oct 24, 2019","300.37","300.91","301.07","299.46","35.86M","0.16%"
"Oct 23, 2019","299.88","298.73","299.94","298.50","34.99M","0.29%"
"Oct 22, 2019","299.01","300.58","300.90","298.91","49.13M","-0.33%"
"Oct 21, 2019","299.99","299.42","300.21","298.94","39.46M","0.68%"
"Oct 18, 2019","297.97","298.69","299.39","296.99","64.34M","-0.44%"
"Oct 17, 2019","299.28","299.68","300.24","298.51","46.78M","0.29%"
"Oct 16, 2019","298.40","298.37","299.16","297.92","50.56M","-0.16%"
"Oct 15, 2019","298.88","297.10","299.70","296.97","47.83M","0.99%"
"Oct 14, 2019","295.95","295.93","296.67","295.57","40.55M","-0.11%"
"Oct 11, 2019","296.28","296.27","298.74","296.14","101.23M","1.04%"
"Oct 10, 2019","293.24","291.18","294.21","291.00","57.26M","0.68%"
"Oct 09, 2019","291.27","290.75","292.30","288.66","65.71M","0.95%"
"Oct 08, 2019","288.53","291.04","291.85","288.49","101.58M","-1.55%"
"Oct 07, 2019","293.08","293.47","295.26","292.77","60.66M","-0.43%"
"Oct 04, 2019","294.35","291.14","294.63","290.82","66.70M","1.35%"
"Oct 03, 2019","290.42","287.81","290.45","284.82","85.91M","0.82%"
"Oct 02, 2019","288.06","291.50","291.51","286.64","124.52M","-1.77%"
"Oct 01, 2019","293.24","297.74","298.45","293.00","89.90M","-1.19%"
"Sep 30, 2019","296.77","295.97","297.55","295.92","52.56M","0.46%"
"Sep 27, 2019","295.40","297.83","297.95","293.69","84.78M","-0.54%"
"Sep 26, 2019","297.00","297.63","297.86","295.45","58.72M","-0.21%"
"Sep 25, 2019","297.62","295.96","298.11","294.33","73.43M","0.59%"
"Sep 24, 2019","295.87","299.41","299.84","294.81","97.37M","-0.78%"
"Sep 23, 2019","298.21","297.55","299.00","297.27","47.54M","-0.02%"
"Sep 20, 2019","298.28","300.36","300.67","297.41","97.46M","-0.93%"
"Sep 19, 2019","301.08","301.53","302.63","300.71","78.10M","-0.01%"
"Sep 18, 2019","301.10","300.49","301.22","298.24","74.19M","0.06%"
"Sep 17, 2019","300.92","299.94","301.02","299.75","42.90M","0.25%"
"Sep 16, 2019","300.16","299.84","301.14","299.45","58.19M","-0.31%"
"Sep 13, 2019","301.09","301.78","302.17","300.68","62.10M","-0.07%"
"Sep 12, 2019","301.29","301.25","302.46","300.41","72.91M","0.35%"
"Sep 11, 2019","300.25","298.47","300.34","297.75","68.82M","0.71%"
"Sep 10, 2019","298.13","297.36","298.20","295.97","57.95M","-0.02%"
"Sep 09, 2019","298.20","299.14","299.24","297.16","51.26M","0.05%"
"Sep 06, 2019","298.05","298.17","298.76","297.42","49.58M","0.08%"
"Sep 05, 2019","297.82","296.79","298.83","294.00","83.36M","1.29%"
"Sep 04, 2019","294.04","293.14","294.06","292.31","47.00M","1.14%"
"Sep 03, 2019","290.74","290.57","291.58","289.27","69.23M","-0.58%"
"Aug 30, 2019","292.45","294.22","294.24","291.42","62.96M","-0.04%"
"Aug 29, 2019","292.58","291.72","293.16","290.61","58.00M","1.28%"
"Aug 28, 2019","288.89","286.14","289.07","285.25","59.85M","0.70%"
"Aug 27, 2019","286.87","289.54","289.95","286.03","68.26M","-0.39%"
"Aug 26, 2019","288.00","287.27","288.00","285.58","72.62M","1.11%"
"Aug 23, 2019","284.85","290.92","292.76","283.47","149.32M","-2.57%"
"Aug 22, 2019","292.36","293.23","293.93","290.40","51.74M","-0.03%"
"Aug 21, 2019","292.45","292.48","292.86","291.72","49.72M","0.81%"
"Aug 20, 2019","290.09","291.77","292.36","289.95","51.65M","-0.77%"
"Aug 19, 2019","292.33","292.19","293.08","291.44","53.64M","1.20%"
"Aug 16, 2019","288.85","286.48","289.33","284.71","85.83M","1.48%"
"Aug 15, 2019","284.65","284.88","285.64","282.39","101.93M","0.26%"
"Aug 14, 2019","283.90","288.07","292.46","283.76","135.62M","-2.96%"
"Aug 13, 2019","292.55","287.74","294.15","287.36","94.79M","1.56%"
"Aug 12, 2019","288.07","289.96","291.61","287.02","65.53M","-1.22%"
"Aug 09, 2019","291.62","292.58","293.24","289.65","93.73M","-0.68%"
"Aug 08, 2019","293.62","289.62","293.62","289.01","87.71M","1.96%"
"Aug 07, 2019","287.97","284.40","288.82","282.04","140.57M","0.06%"
"Aug 06, 2019","287.80","285.91","288.04","284.28","120.71M","1.40%"
"Aug 05, 2019","283.82","288.09","288.21","281.72","178.75M","-3.01%"
"Aug 02, 2019","292.62","293.85","294.12","290.90","116.75M","-0.75%"
"Aug 01, 2019","294.84","297.60","300.87","293.96","142.65M","-0.87%"
"Jul 31, 2019","297.43","300.99","301.20","295.20","104.25M","-1.09%"
"Jul 30, 2019","300.72","299.91","301.17","299.49","45.85M","-0.25%"
"Jul 29, 2019","301.46","301.88","301.93","300.85","38.13M","-0.18%"
"Jul 26, 2019","302.01","300.76","302.23","300.62","45.08M","0.67%"
"Jul 25, 2019","300.00","300.94","301.00","299.11","55.39M","-0.48%"
"Jul 24, 2019","301.44","299.19","301.44","299.09","47.21M","0.47%"
"Jul 23, 2019","300.03","299.14","300.03","298.22","44.66M","0.72%"
"Jul 22, 2019","297.90","297.61","298.50","297.04","43.69M","0.25%"
"Jul 19, 2019","297.17","300.04","300.07","296.96","71.08M","-0.56%"
"Jul 18, 2019","298.83","297.19","299.25","296.70","51.70M","0.37%"
"Jul 17, 2019","297.74","299.75","299.93","297.74","44.10M","-0.66%"
"Jul 16, 2019","299.71","300.65","300.88","299.44","40.57M","-0.35%"
"Jul 15, 2019","300.75","301.13","301.13","300.19","33.91M","0.03%"
"Jul 12, 2019","300.65","299.85","300.73","299.51","40.35M","0.45%"
"Jul 11, 2019","299.31","299.32","299.58","298.20","50.89M","0.23%"
"Jul 10, 2019","298.61","298.37","299.66","297.78","58.60M","0.48%"
"Jul 09, 2019","297.19","295.54","297.52","295.48","41.10M","0.12%"
"Jul 08, 2019","296.82","297.01","298.26","296.22","45.84M","-0.55%"
"Jul 05, 2019","298.46","297.44","298.64","296.01","51.68M","-0.11%"
"Jul 03, 2019","298.80","297.18","298.82","297.02","40.90M","0.80%"
"Jul 02, 2019","296.43","295.61","296.49","294.68","61.50M","0.26%"
"Jul 01, 2019","295.66","296.68","296.92","294.33","79.11M","0.91%"
"Jun 28, 2019","293.00","292.58","293.55","292.01","59.35M","0.51%"
"Jun 27, 2019","291.50","291.31","292.06","290.89","40.36M","0.35%"
"Jun 26, 2019","290.47","291.75","292.31","290.35","51.58M","-0.10%"
"Jun 25, 2019","290.76","293.70","293.73","290.64","82.03M","-0.98%"
"Jun 24, 2019","293.64","294.23","294.58","293.47","47.58M","-0.12%"
"Jun 21, 2019","294.00","294.13","295.52","293.76","83.31M","-0.63%"
"Jun 20, 2019","295.86","296.04","296.31","293.13","116.57M","0.96%"
"Jun 19, 2019","293.06","292.55","293.65","291.47","78.67M","0.23%"
"Jun 18, 2019","292.40","291.39","293.57","290.99","85.43M","1.05%"
"Jun 17, 2019","289.37","289.52","290.22","289.18","39.21M","0.04%"
"Jun 14, 2019","289.26","289.26","289.93","288.41","52.32M","-0.11%"
"Jun 13, 2019","289.58","289.40","289.98","288.62","48.95M","0.41%"
"Jun 12, 2019","288.39","288.64","289.26","287.81","47.10M","-0.18%"
"Jun 11, 2019","288.90","290.99","291.40","288.18","58.64M","-0.02%"
"Jun 10, 2019","288.97","289.37","290.82","288.87","60.80M","0.46%"
"Jun 07, 2019","287.65","285.93","288.85","285.74","74.27M","1.00%"
"Jun 06, 2019","284.80","283.29","285.55","282.57","69.43M","0.65%"
"Jun 05, 2019","282.96","282.33","282.99","280.32","71.17M","0.87%"
"Jun 04, 2019","280.53","277.12","280.68","276.62","77.23M","2.17%"
"Jun 03, 2019","274.57","275.31","276.55","273.09","96.43M","-0.25%"
"May 31, 2019","275.27","276.20","277.12","275.24","86.86M","-1.35%"
"May 30, 2019","279.03","279.11","280.04","277.81","62.52M","0.27%"
"May 29, 2019","278.27","278.91","279.36","276.71","104.97M","-0.67%"
"May 28, 2019","280.15","283.09","284.15","280.13","70.03M","-0.93%"
"May 24, 2019","282.78","283.74","284.20","282.09","55.27M","0.23%"
"May 23, 2019","282.14","283.16","283.21","280.57","98.73M","-1.22%"
"May 22, 2019","285.63","285.45","286.69","285.10","49.48M","-0.31%"
"May 21, 2019","286.51","285.83","286.93","285.55","46.85M","0.90%"
"May 20, 2019","283.95","284.06","285.43","283.12","62.88M","-0.66%"
"May 17, 2019","285.84","285.14","288.60","285.12","100.35M","-0.65%"
"May 16, 2019","287.70","285.84","289.21","285.76","76.75M","0.93%"
"May 15, 2019","285.06","281.59","285.77","281.36","73.96M","0.59%"
"May 14, 2019","283.40","281.99","285.10","281.85","77.00M","0.90%"
"May 13, 2019","280.86","282.42","283.49","279.93","127.29M","-2.51%"
"May 10, 2019","288.10","285.62","288.94","282.30","112.43M","0.50%"
"May 09, 2019","286.66","285.23","287.33","283.30","103.47M","-0.30%"
"May 08, 2019","287.53","287.53","289.43","286.87","91.57M","-0.14%"
"May 07, 2019","287.93","290.15","290.81","285.81","144.73M","-1.67%"
"May 06, 2019","292.82","289.25","293.31","288.90","107.20M","-0.41%"
"May 03, 2019","294.03","292.82","294.34","291.30","56.54M","0.98%"
"May 02, 2019","291.18","291.68","292.70","289.52","65.03M","-0.22%"
"May 01, 2019","291.81","294.72","294.95","291.80","71.67M","-0.75%"
"Apr 30, 2019","294.02","293.49","294.34","291.92","81.11M","0.05%"
"Apr 29, 2019","293.87","293.51","294.45","293.41","57.20M","0.16%"
"Apr 26, 2019","293.41","292.10","293.49","291.24","50.92M","0.47%"
"Apr 25, 2019","292.05","292.12","292.78","290.73","57.77M","-0.06%"
"Apr 24, 2019","292.23","292.79","293.16","292.07","50.39M","-0.22%"
"Apr 23, 2019","292.88","290.68","293.14","290.42","52.25M","0.90%"
"Apr 22, 2019","290.27","289.17","290.44","289.07","40.16M","0.09%"
"Apr 18, 2019","290.02","290.10","290.32","288.66","68.71M","0.20%"
"Apr 17, 2019","289.45","291.40","291.43","288.99","58.27M","-0.24%"
"Apr 16, 2019","290.16","290.95","291.01","289.50","52.15M","0.07%"
"Apr 15, 2019","289.97","290.24","290.35","289.07","49.60M","-0.07%"
"Apr 12, 2019","290.16","290.00","290.47","288.26","69.73M","0.68%"
"Apr 11, 2019","288.21","288.83","288.84","287.58","55.09M","-0.03%"
"Apr 10, 2019","288.29","287.77","288.39","287.31","52.60M","0.34%"
"Apr 09, 2019","287.31","287.72","288.08","286.70","66.14M","-0.51%"
"Apr 08, 2019","288.79","288.10","288.91","287.37","53.57M","0.08%"
"Apr 05, 2019","288.57","287.92","288.63","287.60","58.62M","0.48%"
"Apr 04, 2019","287.18","286.78","287.46","286.01","49.00M","0.27%"
"Apr 03, 2019","286.42","287.32","287.76","285.75","68.24M","0.16%"
"Apr 02, 2019","285.97","286.04","286.23","285.09","40.07M","0.05%"
"Apr 01, 2019","285.83","284.70","286.16","284.40","77.62M","1.19%"
"Mar 29, 2019","282.48","282.39","282.84","281.14","82.19M","0.63%"
"Mar 28, 2019","280.71","280.35","281.21","279.07","56.24M","0.38%"
"Mar 27, 2019","279.65","281.11","281.76","277.93","72.22M","-0.52%"
"Mar 26, 2019","281.12","280.99","282.18","279.56","68.13M","0.75%"
"Mar 25, 2019","279.04","278.87","280.19","277.64","85.58M","-0.08%"
"Mar 22, 2019","279.25","283.22","283.80","279.18","122.66M","-1.92%"
"Mar 21, 2019","284.73","280.64","285.18","280.59","79.55M","1.13%"
"Mar 20, 2019","281.55","282.16","283.50","280.32","84.61M","-0.30%"
"Mar 19, 2019","282.40","283.51","284.36","281.41","90.27M","0.02%"
"Mar 18, 2019","282.33","281.55","282.66","281.30","62.20M","0.36%"
"Mar 15, 2019","281.31","280.54","282.21","280.33","81.31M","0.05%"
"Mar 14, 2019","281.16","281.37","281.84","280.67","67.52M","-0.06%"
"Mar 13, 2019","281.34","280.48","282.38","280.30","80.64M","0.66%"
"Mar 12, 2019","279.49","279.06","280.07","278.85","79.67M","0.38%"
"Mar 11, 2019","278.44","275.26","278.62","275.23","65.10M","1.45%"
"Mar 08, 2019","274.46","272.94","274.65","272.42","85.80M","-0.20%"
"Mar 07, 2019","275.01","276.83","276.99","274.07","94.89M","-0.84%"
"Mar 06, 2019","277.33","279.15","279.16","276.97","75.04M","-0.61%"
"Mar 05, 2019","279.02","279.54","279.76","278.41","59.11M","-0.14%"
"Mar 04, 2019","279.40","281.60","281.87","276.84","106.49M","-0.36%"
"Mar 01, 2019","280.42","280.44","280.88","278.82","78.88M","0.62%"
"Feb 28, 2019","278.68","278.96","279.45","278.32","69.27M","-0.19%"
"Feb 27, 2019","279.20","278.52","279.59","277.48","56.92M","-0.04%"
"Feb 26, 2019","279.32","279.13","280.30","278.90","56.84M","-0.07%"
"Feb 25, 2019","279.52","280.73","281.31","279.43","69.03M","0.14%"
"Feb 22, 2019","279.14","278.11","279.36","277.40","78.11M","0.62%"
"Feb 21, 2019","277.42","277.70","278.10","276.35","64.21M","-0.36%"
"Feb 20, 2019","278.41","277.81","278.92","277.25","76.61M","0.20%"
"Feb 19, 2019","277.85","276.48","278.58","276.47","59.12M","0.17%"
"Feb 15, 2019","277.37","276.36","277.41","276.13","97.09M","1.09%"
"Feb 14, 2019","274.38","273.78","275.64","272.87","83.23M","-0.22%"
"Feb 13, 2019","274.99","275.03","275.93","274.56","65.28M","0.32%"
"Feb 12, 2019","274.10","272.42","274.52","272.34","72.27M","1.29%"
"Feb 11, 2019","270.62","271.20","271.49","270.03","68.02M","0.06%"
"Feb 08, 2019","270.47","268.75","270.58","267.83","75.79M","0.12%"
"Feb 07, 2019","270.14","270.94","271.55","268.29","95.48M","-0.95%"
"Feb 06, 2019","272.74","272.79","273.34","271.92","58.35M","-0.13%"
"Feb 05, 2019","273.10","272.44","273.44","271.88","79.55M","0.42%"
"Feb 04, 2019","271.96","270.11","272.03","269.36","60.74M","0.70%"
"Feb 01, 2019","270.06","270.15","271.20","269.18","85.78M","0.05%"
"Jan 31, 2019","269.93","267.51","270.47","267.27","104.01M","0.88%"
"Jan 30, 2019","267.58","265.10","268.52","264.25","92.47M","1.58%"
"Jan 29, 2019","263.41","263.92","264.55","262.48","66.14M","-0.13%"
"Jan 28, 2019","263.76","263.39","263.83","261.79","85.61M","-0.76%"
"Jan 25, 2019","265.78","265.61","266.70","263.66","96.88M","0.85%"
"Jan 24, 2019","263.55","263.21","264.20","262.08","59.20M","0.05%"
"Jan 23, 2019","263.41","264.01","264.79","260.66","86.03M","0.21%"
"Jan 22, 2019","262.86","264.82","265.06","261.06","115.53M","-1.35%"
"Jan 18, 2019","266.46","264.98","266.98","263.00","127.90M","1.33%"
"Jan 17, 2019","262.96","260.01","263.92","259.96","96.12M","0.76%"
"Jan 16, 2019","260.98","260.83","261.97","260.60","77.64M","0.24%"
"Jan 15, 2019","260.35","257.82","260.70","257.81","85.21M","1.15%"
"Jan 14, 2019","257.40","256.86","258.30","256.41","70.91M","-0.61%"
"Jan 11, 2019","258.98","257.68","259.01","257.03","73.86M","0.04%"
"Jan 10, 2019","258.88","256.26","259.16","255.50","96.82M","0.35%"
"Jan 09, 2019","257.97","257.56","258.91","256.19","95.01M","0.47%"
"Jan 08, 2019","256.77","256.82","257.31","254.00","102.51M","0.94%"
"Jan 07, 2019","254.38","252.69","255.95","251.69","103.14M","0.79%"
"Jan 04, 2019","252.39","247.59","253.11","247.17","142.63M","3.35%"
"Jan 03, 2019","244.21","248.23","248.57","243.67","144.14M","-2.39%"
"Jan 02, 2019","250.18","245.98","251.21","245.95","126.93M","0.10%"
"Dec 31, 2018","249.92","249.56","250.19","247.47","144.30M","0.88%"
"Dec 28, 2018","247.75","249.58","251.40","246.45","153.10M","-0.13%"
"Dec 27, 2018","248.07","242.57","248.29","238.96","186.27M","0.77%"
"Dec 26, 2018","246.18","235.97","246.18","233.76","218.49M","5.05%"
"Dec 24, 2018","234.34","239.04","240.84","234.27","147.31M","-2.64%"
"Dec 21, 2018","240.70","246.74","249.71","239.98","255.35M","-2.62%"
"Dec 20, 2018","247.17","249.86","251.62","244.65","252.05M","-1.63%"
"Dec 19, 2018","251.26","255.17","259.40","249.35","214.99M","-1.50%"
"Dec 18, 2018","255.08","257.20","257.95","253.28","134.52M","-0.11%"
"Dec 17, 2018","255.36","259.40","260.65","253.53","165.49M","-1.96%"
"Dec 14, 2018","260.47","262.96","264.03","259.85","116.96M","-1.85%"
"Dec 13, 2018","265.37","266.52","267.49","264.12","96.66M","-0.03%"
"Dec 12, 2018","265.46","267.47","269.00","265.37","97.98M","0.50%"
"Dec 11, 2018","264.13","267.66","267.87","262.48","121.50M","0.02%"
"Dec 10, 2018","264.07","263.37","265.16","258.62","151.45M","0.19%"
"Dec 07, 2018","263.57","269.46","271.22","262.63","161.02M","-2.32%"
"Dec 06, 2018","269.84","265.92","269.97","262.44","204.19M","-0.15%"
"Dec 04, 2018","270.25","278.37","278.85","269.90","177.99M","-3.24%"
"Dec 03, 2018","279.30","280.28","280.40","277.50","103.02M","1.32%"
"Nov 30, 2018","275.65","273.81","276.28","273.45","98.20M","0.61%"
"Nov 29, 2018","273.98","273.71","275.55","272.43","82.35M","-0.22%"
"Nov 28, 2018","274.58","269.60","274.58","268.33","127.63M","2.30%"
"Nov 27, 2018","268.40","266.34","268.40","265.66","75.50M","0.34%"
"Nov 26, 2018","267.50","265.78","267.75","265.34","79.98M","1.61%"
"Nov 23, 2018","263.25","263.18","264.82","263.07","42.81M","-0.67%"
"Nov 21, 2018","265.02","265.86","267.15","265.01","75.56M","0.34%"
"Nov 20, 2018","264.12","265.36","267.00","263.15","136.02M","-1.85%"
"Nov 19, 2018","269.10","273.05","273.38","268.07","103.06M","-1.69%"
"Nov 16, 2018","273.73","271.79","274.75","271.21","126.67M","0.26%"
"Nov 15, 2018","273.02","268.78","273.54","267.01","135.10M","1.04%"
"Nov 14, 2018","270.20","274.16","274.61","268.45","125.34M","-0.68%"
"Nov 13, 2018","272.06","273.09","275.32","271.25","98.18M","-0.19%"
"Nov 12, 2018","272.57","277.19","277.46","271.99","99.67M","-1.87%"
"Nov 09, 2018","277.76","279.03","279.24","276.18","98.81M","-0.98%"
"Nov 08, 2018","280.50","280.11","281.22","279.22","65.58M","-0.18%"
"Nov 07, 2018","281.01","277.56","281.10","277.08","102.75M","2.14%"
"Nov 06, 2018","275.12","273.32","275.30","273.25","60.09M","0.63%"
"Nov 05, 2018","273.39","272.44","274.01","271.35","65.62M","0.55%"
"Nov 02, 2018","271.89","274.75","275.23","269.59","122.63M","-0.59%"
"Nov 01, 2018","273.51","271.60","273.73","270.38","99.50M","1.06%"
"Oct 31, 2018","270.63","270.65","273.23","270.12","128.30M","1.07%"
"Oct 30, 2018","267.77","263.67","268.12","263.12","157.12M","1.48%"
"Oct 29, 2018","263.86","268.80","270.25","259.85","160.75M","-0.55%"
"Oct 26, 2018","265.33","265.92","271.00","262.29","201.57M","-1.76%"
"Oct 25, 2018","270.08","267.38","271.81","266.23","138.06M","1.79%"
"Oct 24, 2018","265.32","273.33","273.76","264.70","177.81M","-3.03%"
"Oct 23, 2018","273.61","270.95","274.87","268.61","146.35M","-0.51%"
"Oct 22, 2018","275.01","277.00","277.36","274.41","82.42M","-0.45%"
"Oct 19, 2018","276.25","277.13","279.30","275.47","139.90M","-0.05%"
"Oct 18, 2018","276.40","279.40","280.07","274.97","134.56M","-1.44%"
"Oct 17, 2018","280.45","280.44","281.15","277.56","110.63M","0.02%"
"Oct 16, 2018","280.40","276.60","280.82","276.07","118.26M","2.19%"
"Oct 15, 2018","274.40","275.55","277.04","274.30","102.26M","-0.56%"
"Oct 12, 2018","275.95","276.77","277.09","272.37","183.19M","1.39%"
"Oct 11, 2018","272.17","277.08","278.90","270.36","274.84M","-2.20%"
"Oct 10, 2018","278.30","286.83","286.91","277.88","214.73M","-3.17%"
"Oct 09, 2018","287.40","287.39","288.86","286.77","74.34M","-0.15%"
"Oct 08, 2018","287.82","287.05","288.22","285.50","87.74M","0.00%"
"Oct 05, 2018","287.82","289.69","290.27","286.22","105.95M","-0.56%"
"Oct 04, 2018","289.44","291.18","291.24","287.66","111.55M","-0.78%"
"Oct 03, 2018","291.72","292.74","293.21","291.32","64.69M","0.05%"
"Oct 02, 2018","291.56","291.56","292.36","291.14","47.26M","-0.06%"
"Oct 01, 2018","291.73","292.11","292.93","290.98","62.08M","0.35%"
"Sep 28, 2018","290.72","289.99","291.28","289.95","70.09M","0.01%"
"Sep 27, 2018","290.69","290.41","291.91","290.10","59.25M","0.28%"
"Sep 26, 2018","289.88","290.91","292.24","289.41","79.74M","-0.30%"
"Sep 25, 2018","290.75","291.53","291.65","290.48","44.37M","-0.09%"
"Sep 24, 2018","291.02","291.34","291.50","290.37","53.41M","-0.33%"
"Sep 21, 2018","291.99","293.09","293.22","291.81","105.48M","-0.54%"
"Sep 20, 2018","293.58","292.64","293.94","291.24","100.36M","0.81%"
"Sep 19, 2018","291.22","290.97","291.69","290.82","49.08M","0.11%"
"Sep 18, 2018","290.91","289.58","291.58","289.55","61.93M","0.54%"
"Sep 17, 2018","289.34","290.82","290.86","289.03","68.24M","-0.53%"
"Sep 14, 2018","290.88","291.06","291.27","290.00","55.08M","0.02%"
"Sep 13, 2018","290.83","290.32","291.04","290.00","51.03M","0.59%"
"Sep 12, 2018","289.12","289.06","289.80","288.23","59.81M","0.02%"
"Sep 11, 2018","289.05","287.37","289.55","286.98","50.53M","0.33%"
"Sep 10, 2018","288.10","288.74","289.04","287.88","50.21M","0.17%"
"Sep 07, 2018","287.60","286.98","288.70","286.71","73.52M","-0.19%"
"Sep 06, 2018","288.16","289.15","289.49","287.00","65.91M","-0.30%"
"Sep 05, 2018","289.03","289.41","289.64","287.89","72.45M","-0.27%"
"Sep 04, 2018","289.81","289.84","290.21","288.68","57.59M","-0.17%"
"Aug 31, 2018","290.31","289.84","290.81","289.29","66.14M","0.00%"
"Aug 30, 2018","290.30","290.94","291.36","289.63","61.23M","-0.40%"
"Aug 29, 2018","291.48","290.16","291.74","289.89","61.49M","0.54%"
"Aug 28, 2018","289.92","290.30","290.42","289.40","46.94M","0.05%"
"Aug 27, 2018","289.78","288.86","289.90","288.68","57.07M","0.79%"
"Aug 24, 2018","287.51","286.44","287.67","286.38","57.49M","0.60%"
"Aug 23, 2018","285.79","285.97","286.94","285.43","49.20M","-0.13%"
"Aug 22, 2018","286.17","285.88","286.76","285.57","44.99M","-0.06%"
"Aug 21, 2018","286.34","286.25","287.31","285.71","67.27M","0.23%"
"Aug 20, 2018","285.67","285.57","285.97","285.06","39.81M","0.21%"
"Aug 17, 2018","285.06","283.83","285.56","283.37","65.62M","0.35%"
"Aug 16, 2018","284.06","283.40","285.04","283.36","69.97M","0.81%"
"Aug 15, 2018","281.78","282.38","282.54","280.16","102.93M","-0.75%"
"Aug 14, 2018","283.90","282.92","284.17","282.48","43.84M","0.64%"
"Aug 13, 2018","282.10","283.47","284.16","281.77","65.73M","-0.37%"
"Aug 10, 2018","283.16","283.45","284.06","282.36","77.08M","-0.67%"
"Aug 09, 2018","285.07","285.53","285.97","284.92","35.72M","-0.14%"
"Aug 08, 2018","285.46","285.39","285.91","284.94","42.11M","-0.04%"
"Aug 07, 2018","285.58","285.39","286.01","285.24","43.20M","0.33%"
"Aug 06, 2018","284.64","283.64","284.99","283.20","39.40M","0.37%"
"Aug 03, 2018","283.60","282.53","283.66","282.33","53.94M","0.43%"
"Aug 02, 2018","282.39","279.39","282.58","279.16","63.43M","0.54%"
"Aug 01, 2018","280.86","281.56","282.13","280.13","53.85M","-0.17%"
"Jul 31, 2018","281.33","280.81","282.02","280.38","68.57M","0.49%"
"Jul 30, 2018","279.95","281.51","281.69","279.36","63.74M","-0.52%"
"Jul 27, 2018","281.42","283.71","283.82","280.38","76.78M","-0.68%"
"Jul 26, 2018","283.34","283.20","284.11","283.09","57.92M","-0.24%"
"Jul 25, 2018","284.01","281.33","284.37","281.28","78.88M","0.85%"
"Jul 24, 2018","281.61","281.79","282.56","280.63","68.03M","0.50%"
"Jul 23, 2018","280.20","279.45","280.43","279.06","47.05M","0.19%"
